סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0 ,לא רשום ,0 ,לא ידוע ,0 , ,0 , ,37478 ,3926 ,5056 ,1515 ,487 ,623 ,25871
7 ,שחר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,746 ,44 ,174 ,249 ,95 ,85 ,99
10 ,תירוש ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,415 ,32 ,58 ,153 ,42 ,55 ,75
11 ,ניר ח"ן ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,609 ,38 ,123 ,191 ,86 ,59 ,112
13 ,חצבה ,62 ,באר שבע ,63 ,אילת ,54 ,הערבה התיכונה ,829 ,50 ,212 ,254 ,121 ,42 ,150
15 ,נועם ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,444 ,30 ,89 ,158 ,55 ,41 ,71
16 ,בית ניר ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,761 ,40 ,170 ,249 ,118 ,90 ,94
18 ,שדה משה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,646 ,51 ,175 ,201 ,83 ,42 ,94
21 ,באר אורה ,62 ,באר שבע ,63 ,אילת ,53 ,חבל אילות ,1293 ,61 ,377 ,433 ,251 ,111 ,60
22 ,מקווה ישראל ,53 ,חולון ,53 ,חולון ,0 , ,185 ,15 ,32 ,64 ,26 ,14 ,34
23 ,אמציה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,203 ,16 ,36 ,71 ,27 ,18 ,35
24 ,לכיש ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,877 ,60 ,173 ,297 ,106 ,130 ,111
26 ,ראש פינה ,21 ,צפת ,21 ,צפת ,0 , ,3454 ,184 ,674 ,1121 ,439 ,352 ,684
27 ,שדות מיכה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,349 ,13 ,82 ,116 ,42 ,36 ,60
28 ,מזכרת בתיה ,44 ,רחובות ,44 ,רחובות ,0 , ,17548 ,1047 ,4488 ,5681 ,2654 ,1577 ,2101
29 ,יסוד המעלה ,21 ,צפת ,21 ,צפת ,0 , ,1840 ,121 ,332 ,641 ,238 ,203 ,305
31 ,אופקים ,62 ,באר שבע ,62 ,באר שבע ,0 , ,44197 ,6097 ,10863 ,16451 ,3623 ,2781 ,4382
32 ,עוצם ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,691 ,62 ,162 ,230 ,70 ,82 ,85
33 ,בת שלמה ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,654 ,51 ,142 ,212 ,92 ,59 ,98
35 ,גדות ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,583 ,51 ,126 ,171 ,66 ,48 ,121
36 ,שדה דוד ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,700 ,54 ,187 ,239 ,84 ,49 ,87
37 ,איתן ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,829 ,123 ,241 ,297 ,57 ,42 ,69
39 ,גפן ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,407 ,42 ,92 ,129 ,53 ,31 ,60
41 ,אליכין ,41 ,השרון ,32 ,חדרה ,0 , ,3697 ,257 ,722 ,1290 ,410 ,432 ,586
43 ,מטולה ,21 ,צפת ,21 ,צפת ,0 , ,2187 ,123 ,255 ,1073 ,217 ,178 ,341
44 ,זוהר ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,333 ,21 ,84 ,101 ,38 ,19 ,70
46 ,יבנאל ,22 ,כנרת ,22 ,טבריה ,0 , ,5031 ,659 ,1520 ,1567 ,460 ,317 ,508
47 ,כפר תבור ,22 ,כנרת ,22 ,טבריה ,0 , ,4900 ,258 ,1134 ,1494 ,685 ,487 ,842
48 ,מנחמיה ,22 ,כנרת ,22 ,טבריה ,7 ,עמק המעיינות ,1295 ,90 ,230 ,444 ,141 ,115 ,275
49 ,אילניה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,589 ,30 ,93 ,212 ,71 ,75 ,108
52 ,לוזית ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,905 ,60 ,281 ,274 ,145 ,74 ,71
53 ,עתלית ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,12307 ,1071 ,3401 ,3917 ,1691 ,783 ,1444
55 ,נוגה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,569 ,30 ,115 ,173 ,87 ,57 ,107
